time,energy,event_type,wattmin,epower
6e-05,0.006,p,100,100
6e-05,0.006,p,320,NA
7.5e-05,0.01035,s,320,290
1.00005,320.001,p,320,320
1.00005,320.001,p,1860,NA
1.00006,320.026,s,1860,1650
2.00005,2180,p,1860,1860
2.00005,2180,p,2080,NA
2.00006,2180.03,s,2080,2050
4.00006,6340.03,e,2080,2080
4.00009,6340.08,s,2080,1870
4.00011,6340.11,s,2080,1900
5.00005,8300,p,2080,1960
5.00005,8300,p,1200,NA
5.00006,8300.01,e,1200,1200
5.00011,8300.07,p,1200,1170
5.00011,8300.07,p,2300,NA
5.00012,8300.1,s,2300,2120
6.00009,10600,e,2300,2300
6.00011,10600.1,s,2300,2270
8.00012,15200.1,e,2300,2300
8.00014,15200.1,s,2300,2120
9.00005,17379.9,p,2300,2180
9.00005,17379.9,p,1420,NA
10,18799.9,p,1420,1420
10,18799.9,p,1640,NA
10.0001,18800,s,1640,1610
11.0001,20440.1,e,1640,1640
11.0001,20440.1,s,1640,1580
12,22049.9,p,1640,1610
12,22049.9,p,1420,NA
12.0001,22050,e,1420,1420
12.0001,22050,p,1420,1390
12.0001,22050,p,1640,NA
12.0001,22050,s,1640,1580
13.0001,23689.9,e,1640,1640
14,25299.9,p,1640,1610
14,25299.9,p,1420,NA
14.0001,25300,e,1420,1420
14.0001,25300,p,1420,1360
14.0001,25300,p,2300,NA
14.0001,25300.1,s,2300,2120
15.0001,27600.1,e,2300,2300
15.0002,27600.1,s,2300,2120
17.0002,32200.1,e,2300,2300
17.0002,32200.1,s,2300,2120
17.0002,32200.2,s,2300,2150
18,34409.8,p,2300,2210
18,34409.8,p,1640,NA
18.0002,34410.1,e,1640,1640
19,36019.8,p,1640,1610
19,36019.8,p,1420,NA
19.0001,36019.9,e,1420,1420
19.0001,36020,p,1420,1360
19.0001,36020,p,2080,NA
19.0001,36020,s,2080,1930
21.0001,40179.9,e,2080,2080
22,42229.8,p,2080,2050
22,42229.8,p,1860,NA
22.0001,42230,e,1860,1860
22.0002,42230,p,1860,1710
22.0002,42230,p,2080,NA
22.0002,42230,s,2080,1900
23.0002,44310,e,2080,2080
23.0002,44310,p,2080,2050
23.0002,44310,p,2300,NA
23.0002,44310.1,s,2300,2240
25.0002,48910,e,2300,2300
25.0002,48910,s,2300,2120
26,51179.7,p,2300,2270
26,51179.7,p,2080,NA
26.0002,51180,e,2080,2080
26.0002,51180.1,s,2080,2020
27,53229.7,p,2080,2050
27,53229.7,p,1860,NA
27.0002,53230,e,1860,1860
27.0002,53230,p,1860,1710
27.0002,53230,p,2300,NA
27.0002,53230.1,s,2300,2090
28.0002,55530,e,2300,2300
28.0002,55530.1,s,2300,2270
29.0002,57830.1,e,2300,2300
29.0002,57830.1,s,2300,2090
31.0002,62430.1,e,2300,2300
31.0002,62430.1,s,2300,2090
31.0003,62430.1,s,2300,2240
32.0002,64730,e,2300,2300
32.0002,64730,s,2300,2240
33,66999.7,p,2300,2270
33,66999.7,p,2080,NA
34.0002,69080.1,e,2080,2080
35,71009.7,p,2080,1930
35,71009.7,p,980,NA
35.0002,71009.9,e,980,980
35.0002,71009.9,p,980,950
35.0002,71009.9,p,2300,NA
35.0002,71009.9,s,2300,2090
36.0002,73309.9,e,2300,2300
36.0003,73309.9,s,2300,2090
37,75459.5,p,2300,2150
37,75459.5,p,1200,NA
37.0001,75459.5,p,1200,1200
37.0001,75459.5,p,1420,NA
37.0001,75459.5,s,1420,1390
38.0001,76879.5,e,1420,1420
38.0001,76879.5,s,1420,1390
38.0002,76879.7,e,1420,1420
39,78269.5,p,1420,1390
39,78269.5,p,1200,NA
39.0003,78269.7,e,1200,1200
39.0003,78269.8,p,1200,1140
39.0003,78269.8,p,1860,NA
39.0003,78269.8,s,1860,1710
40.0003,80129.8,e,1860,1860
40.0003,80129.8,s,1860,1710
41.0001,81989.4,e,1860,1860
41.0001,81989.4,p,1860,1830
41.0001,81989.4,p,2080,NA
41.0001,81989.5,s,2080,2020
42.0001,84069.5,e,2080,2080
43,86089.3,p,2080,2020
43,86089.3,p,1640,NA
43.0003,86089.7,e,1640,1640
43.0003,86089.8,p,1640,1490
43.0003,86089.8,p,2300,NA
43.0003,86089.8,s,2300,2060
44.0003,88389.6,e,2300,2300
44.0003,88389.7,s,2300,2240
45.0003,90689.8,e,2300,2300
45.0003,90689.8,s,2300,2060
