time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
6e-05,0,0,0,10,0
7.5e-05,0,0,0,9,1
1.00005,0,0,0,9,1
1.00006,0,0,0,2,8
2.00005,0,0,0,2,8
2.00006,0,0,0,1,9
4.00006,0,0,0,8,2
4.00009,0,0,0,7,3
4.00011,0,0,0,5,5
5.00005,0,0,0,5,5
5.00006,0,0,0,6,4
5.00011,0,0,0,6,4
5.00012,0,0,0,0,10
6.00009,0,0,0,1,9
6.00011,0,0,0,0,10
8.00012,0,0,0,6,4
8.00014,0,0,0,4,6
9.00005,0,0,0,4,6
10,0,0,0,4,6
10.0001,0,0,0,3,7
11.0001,0,0,0,5,5
11.0001,0,0,0,4,6
12,0,0,0,4,6
12.0001,0,0,0,5,5
12.0001,0,0,0,5,5
12.0001,0,0,0,3,7
13.0001,0,0,0,4,6
14,0,0,0,4,6
14.0001,0,0,0,6,4
14.0001,0,0,0,6,4
14.0001,0,0,0,0,10
15.0001,0,0,0,6,4
15.0002,0,0,0,0,10
17.0002,0,0,0,6,4
17.0002,0,0,0,5,5
17.0002,0,0,0,3,7
18,0,0,0,3,7
18.0002,0,0,0,4,6
19,0,0,0,4,6
19.0001,0,0,0,6,4
19.0001,0,0,0,6,4
19.0001,0,0,0,1,9
21.0001,0,0,0,2,8
22,0,0,0,2,8
22.0001,0,0,0,7,3
22.0002,0,0,0,7,3
22.0002,0,0,0,1,9
23.0002,0,0,0,2,8
23.0002,0,0,0,2,8
23.0002,0,0,0,0,10
25.0002,0,0,0,6,4
25.0002,0,0,0,1,9
26,0,0,0,1,9
26.0002,0,0,0,3,7
26.0002,0,0,0,2,8
27,0,0,0,2,8
27.0002,0,0,0,7,3
27.0002,0,0,0,7,3
27.0002,0,0,0,0,10
28.0002,0,0,0,1,9
28.0002,0,0,0,0,10
29.0002,0,0,0,7,3
29.0002,0,0,0,0,10
31.0002,0,0,0,7,3
31.0002,0,0,0,2,8
31.0003,0,0,0,0,10
32.0002,0,0,0,2,8
32.0002,0,0,0,1,9
33,0,0,0,1,9
34.0002,0,0,0,6,4
35,0,0,0,6,4
35.0002,0,0,0,7,3
35.0002,0,0,0,7,3
35.0002,0,0,0,0,10
36.0002,0,0,0,7,3
36.0003,0,0,0,5,5
37,0,0,0,5,5
37.0001,0,0,0,5,5
37.0001,0,0,0,4,6
38.0001,0,0,0,5,5
38.0001,0,0,0,4,6
38.0002,0,0,0,5,5
39,0,0,0,5,5
39.0003,0,0,0,7,3
39.0003,0,0,0,7,3
39.0003,0,0,0,2,8
40.0003,0,0,0,7,3
40.0003,0,0,0,2,8
41.0001,0,0,0,3,7
41.0001,0,0,0,3,7
41.0001,0,0,0,1,9
42.0001,0,0,0,3,7
43,0,0,0,3,7
43.0003,0,0,0,8,2
43.0003,0,0,0,8,2
43.0003,0,0,0,0,10
44.0003,0,0,0,2,8
44.0003,0,0,0,0,10
45.0003,0,0,0,8,2
45.0003,0,0,0,0,10
46.0003,0,0,0,8,2
46.0004,0,0,0,6,4
47,0,0,0,6,4
49.0004,0,0,0,8,2
49.0004,0,0,0,8,2
49.0004,0,0,0,1,9
52.0004,0,0,0,8,2
52.0004,0,0,0,2,8
53,0,0,0,2,8
53.0004,0,0,0,8,2
53.0004,0,0,0,2,8
54.0004,0,0,0,8,2
54.0004,0,0,0,8,2
54.0004,0,0,0,0,10
57.0004,0,0,0,8,2
57.0005,0,0,0,1,9
57.0005,0,0,0,0,10
58.0003,0,0,0,2,8
58.0003,0,0,0,0,10
60.0005,0,0,0,7,3
60.0005,0,0,0,0,10
61.0003,0,0,0,2,8
61.0005,0,0,0,9,1
61.0005,0,0,0,0,10
62.0005,0,0,0,9,1
62.0005,0,0,0,4,6
62.0005,0,0,0,2,8
62.0005,0,0,0,0,10
63.0005,0,0,0,5,5
63.0005,0,0,0,0,10
64.0005,0,0,0,2,8
64.0005,0,0,0,4,6
64.0005,0,0,0,2,8
64.0006,0,0,0,1,9
64.0006,0,0,0,0,10
66.0005,0,0,0,5,5
66.0006,0,0,0,6,4
67,0,0,0,6,4
70.0005,0,0,0,7,3
70.0005,0,0,0,7,3
70.0005,0,0,0,0,10
74.0005,0,0,0,2,8
