time,machine_id,new_pstate
0,0-9,0
6e-05,0,-1
6e-05,0,1
1.00005,1-7,-1
1.00005,1-7,1
2.00005,8,-1
2.00005,8,1
5.00005,4-7,-1
5.00005,4-7,0
5.00011,4-7 9,-1
5.00011,4-7 9,1
9.00005,6-9,-1
9.00005,6-9,0
10,6,-1
10,6,1
12,5,-1
12,5,0
12.0001,5,-1
12.0001,5,1
14,6,-1
14,6,0
14.0001,6-9,-1
14.0001,6-9,1
18,7-9,-1
18,7-9,0
19,0,-1
19,0,0
19.0001,0 7-8,-1
19.0001,0 7-8,1
22,1,-1
22,1,0
22.0002,1,-1
22.0002,1,1
23.0002,9,-1
23.0002,9,1
26,8,-1
26,8,0
27,9,-1
27,9,0
27.0002,8-9,-1
27.0002,8-9,1
33,6,-1
33,6,0
35,0-3 7,-1
35,0-3 7,0
35.0002,0-3 6-7,-1
35.0002,0-3 6-7,1
37,2-3 5-7,-1
37,2-3 5-7,0
37.0001,2,-1
37.0001,2,1
39,4,-1
39,4,0
39.0003,3-5,-1
39.0003,3-5,1
41.0001,6,-1
41.0001,6,1
43,2 6,-1
43,2 6,0
43.0003,2 6-7,-1
43.0003,2 6-7,1
47,2-7,-1
47,2-7,0
49.0004,2-6,-1
49.0004,2-6,1
53,6,-1
53,6,0
54.0004,6-7,-1
54.0004,6-7,1
67,0-4 8,-1
67,0-4 8,0
70.0005,0-4 8,-1
70.0005,0-4 8,1
75,6,-1
75,6,0
77,9,-1
77,9,0
78,5,-1
78,5,0
84.0005,5-6 9,-1
84.0005,5-6 9,1
89,7,-1
89,7,0
89.0006,7,-1
89.0006,7,1
92,6,-1
92,6,0
92.0006,6,-1
92.0006,6,1
93,8,-1
93,8,0
93.0001,8,-1
93.0001,8,1
96,6-7,-1
96,6-7,0
97,1-2 4-5,-1
97,1-2 4-5,0
98,9,-1
98,9,0
104,1-2 4-7 9,-1
104,1-2 4-7 9,1
110,9,-1
110,9,0
110.001,9,-1
110.001,9,1
112,7,-1
112,7,0
112.001,7,-1
112.001,7,1
115,9,-1
115,9,0
116,3-4,-1
116,3-4,0
117,0-2,-1
117,0-2,0
117.001,0-4,-1
117.001,0-4,1
119.001,9,-1
119.001,9,1
126,5-9,-1
126,5-9,0
126.001,5-9,-1
126.001,5-9,1
129,0 3,-1
129,0 3,0
137.001,0 3,-1
137.001,0 3,1
138,9,-1
138,9,0
138.001,9,-1
138.001,9,1
141,8-9,-1
141,8-9,0
142,0-1,-1
142,0-1,0
143.001,0-1,-1
143.001,0-1,1
144,5-6,-1
144,5-6,0
146.001,5-6 8,-1
146.001,5-6 8,1
153,7,-1
153,7,0
158.001,7 9,-1
158.001,7 9,1
184,8-9,-1
184,8-9,0
209,6-7,-1
209,6-7,0
221.001,6-9,-1
221.001,6-9,1
237,8-9,-1
237,8-9,0
