time,energy,event_type,wattmin,epower
1.00103,15976.4,p,31920,15960
1.00105,15976.7,s,19104,16824
4.00103,73288.4,p,5856,19104
9.00105,102568,e,5856,5856
9.00915,102597,p,5856,3576
12.0092,113757,p,1512,3720
41.0416,157655,p,1512,1512
42.0416,160559,p,3684,2904
42.0416,160559,s,3684,2544
52.0416,197399,e,3684,3684
52.0518,197424,p,3684,2544
55.0518,205272,p,1512,2616
59.0589,211331,p,1512,1512
60.0589,214235,p,3684,2904
60.0589,214235,s,3684,2544
69.0589,247391,e,3684,3684
69.0681,247414,p,3684,2544
72.0681,255262,p,1512,2616
119.119,326403,p,1512,1512
120.119,329307,p,3684,2904
120.119,329307,s,3684,2544
133.119,377199,e,3684,3684
133.132,377233,p,3684,2544
136.132,385081,p,1512,2616
147.146,401734,p,1512,1512
148.146,404638,p,3684,2904
148.146,404638,s,3684,2544
179.178,518958,p,3684,3684
180.178,524034,p,5856,5076
180.178,524034,s,5856,4716
183.146,541418,e,5856,5856
183.181,541581,p,5856,4716
184.182,546374,p,4788,4788
185.182,552554,p,6960,6180
185.182,552554,s,6960,5820
185.182,552554,p,6960,6960
185.182,552554,p,8352,8352
185.182,552554,p,9744,9744
185.182,552554,p,11136,11136
185.182,552554,p,12528,12528
185.182,552555,p,13920,13920
185.182,552555,p,15312,15312
185.182,552555,p,16704,16704
186.181,570630,p,16992,18096
186.182,570648,p,17772,16992
186.182,570648,p,18552,16632
186.182,570649,p,19332,16272
186.182,570649,p,20112,15912
186.182,570649,p,20892,15552
186.182,570649,p,21672,15192
186.182,570650,p,22452,14832
186.182,570650,p,23232,14472
186.182,570650,s,23232,14112
189.182,640343,e,23232,23232
189.185,640411,p,23232,22092
192.185,706903,p,21060,22164
192.188,706967,p,21060,21060
192.188,706967,p,22452,22452
193.188,730811,p,24624,23844
193.188,730811,p,25404,23484
193.188,730812,s,25404,23124
198.188,857832,e,25404,25404
198.193,857949,p,25404,23124
201.193,927753,p,21060,23268
208.203,1.07539e+06,p,21060,21060
208.203,1.07539e+06,p,22452,22452
208.203,1.07539e+06,p,23844,23844
208.203,1.07539e+06,p,25236,25236
209.203,1.10201e+06,p,27408,26628
