job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
1,w0,8000000,0.000000,24,120.000000,1,COMPLETED_SUCCESSFULLY,1.001045,8.000000,9.001045,1.001045,9.001045,1.125131,144-167,36480.000000,""
10,w0,5000000,208.000000,48,60.000000,1,COMPLETED_SUCCESSFULLY,209.203210,5.000000,214.203210,1.203210,6.203210,1.240642,0-11 24-35 132-155,45600.000000,""
11,w0,24000000,210.000000,12,60.000000,1,COMPLETED_SUCCESSFULLY,211.204195,24.000000,235.204195,1.204195,25.204195,1.050175,156-167,54720.000000,""
12,w0,5000000,214.000000,144,60.000000,1,COMPLETED_SUCCESSFULLY,607.600195,5.000000,612.600195,393.600195,398.600195,79.720039,0-143,136800.000000,""
13,w0,106000000,216.000000,60,105.000000,0,COMPLETED_WALLTIME_REACHED,219.211360,105.000000,324.211360,3.211360,108.211360,1.030584,0-35 132-155,1068517.369655,""
14,w0,4000000,218.000000,60,60.000000,1,COMPLETED_SUCCESSFULLY,324.314890,4.000000,328.314890,106.314890,110.314890,27.578723,0-35 132-155,45600.000000,""
15,w0,4000000,245.000000,12,60.000000,1,COMPLETED_SUCCESSFULLY,246.237720,4.000000,250.237720,1.237720,5.237720,1.309430,156-167,9120.000000,""
16,w0,4000000,252.000000,48,60.000000,1,COMPLETED_SUCCESSFULLY,328.318950,4.000000,332.318950,76.318950,80.318950,20.079738,0-35 132-143,36480.000000,""
17,w0,5000000,260.000000,12,60.000000,1,COMPLETED_SUCCESSFULLY,261.251945,5.000000,266.251945,1.251945,6.251945,1.250389,156-167,11400.000000,""
18,w0,27000000,270.000000,12,60.000000,1,COMPLETED_SUCCESSFULLY,271.261095,27.000000,298.261095,1.261095,28.261095,1.046707,156-167,61560.000000,""
19,w0,5000000,288.000000,24,60.000000,1,COMPLETED_SUCCESSFULLY,329.318980,5.000000,334.318980,41.318980,46.318980,9.263796,144-167,22800.000000,""
2,w0,10000000,41.000000,12,60.000000,1,COMPLETED_SUCCESSFULLY,42.041645,10.000000,52.041645,1.041645,11.041645,1.104165,0-11,22800.000000,""
20,w0,7000000,297.000000,24,60.000000,1,COMPLETED_SUCCESSFULLY,332.322040,7.000000,339.322040,35.322040,42.322040,6.046006,24-35 132-143,31920.000000,""
21,w0,14000000,554.000000,24,175.000000,1,COMPLETED_SUCCESSFULLY,607.600225,14.000000,621.600225,53.600225,67.600225,4.828588,144-167,63840.000000,""
22,w0,14000000,599.000000,72,60.000000,1,COMPLETED_SUCCESSFULLY,616.605330,14.000000,630.605330,17.605330,31.605330,2.257524,0-71,191520.000000,""
23,w0,61000000,659.000000,12,60.000000,0,COMPLETED_WALLTIME_REACHED,660.652945,60.000000,720.652945,1.652945,61.652945,1.027549,0-11,78283.260408,""
24,w0,74000000,663.000000,60,74.000000,0,COMPLETED_WALLTIME_REACHED,664.656065,74.000000,738.656065,1.656065,75.656065,1.022379,12-71,843600.000000,""
25,w0,13000000,779.000000,72,60.000000,1,COMPLETED_SUCCESSFULLY,780.772820,13.000000,793.772820,1.772820,14.772820,1.136371,0-71,177840.000000,""
26,w0,14000000,839.000000,168,60.000000,1,COMPLETED_SUCCESSFULLY,840.832840,14.000000,854.832840,1.832840,15.832840,1.130917,0-167,446880.000000,""
27,w0,14000000,839.000000,72,60.000000,1,COMPLETED_SUCCESSFULLY,854.846870,14.000000,868.846870,15.846870,29.846870,2.131919,96-167,191520.000000,""
28,w0,1000000,904.000000,72,30.000000,1,COMPLETED_SUCCESSFULLY,905.897695,1.000000,906.897695,1.897695,2.897695,2.897695,0-71,13680.000000,""
29,w0,1000000,1050.000000,120,120.000000,1,COMPLETED_SUCCESSFULLY,1051.043005,1.000000,1052.043005,1.043005,2.043005,2.043005,0-119,22800.000000,""
3,w0,9000000,59.000000,12,60.000000,1,COMPLETED_SUCCESSFULLY,60.058915,9.000000,69.058915,1.058915,10.058915,1.117657,0-11,20520.000000,""
30,w0,15000000,1079.000000,12,60.000000,1,COMPLETED_SUCCESSFULLY,1080.070440,15.000000,1095.070440,1.070440,16.070440,1.071363,0-11,34200.000000,""
31,w0,16000000,1139.000000,120,60.000000,1,COMPLETED_SUCCESSFULLY,1140.130475,16.000000,1156.130475,1.130475,17.130475,1.070655,0-119,364800.000000,""
4,w0,13000000,119.000000,12,60.000000,1,COMPLETED_SUCCESSFULLY,120.118815,13.000000,133.118815,1.118815,14.118815,1.086063,0-11,29640.000000,""
5,w0,35000000,147.000000,12,60.000000,1,COMPLETED_SUCCESSFULLY,148.146235,35.000000,183.146235,1.146235,36.146235,1.032750,0-11,79800.000000,""
6,w0,38000000,179.000000,12,60.000000,1,COMPLETED_SUCCESSFULLY,180.177715,38.000000,218.177715,1.177715,39.177715,1.030993,12-23,86640.000000,""
7,w0,4000000,184.000000,12,60.000000,1,COMPLETED_SUCCESSFULLY,185.181790,4.000000,189.181790,1.181790,5.181790,1.295448,24-35,9120.000000,""
8,w0,421000000,185.000000,96,420.000000,0,COMPLETED_WALLTIME_REACHED,186.181925,420.000000,606.181925,1.181925,421.181925,1.002814,36-131,5279528.524944,""
9,w0,5000000,192.000000,24,60.000000,1,COMPLETED_SUCCESSFULLY,193.187955,5.000000,198.187955,1.187955,6.187955,1.237591,0-11 24-35,22800.000000,""
