time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
1.00103,0,0,144,24,0
1.00105,0,0,144,0,24
4.00103,144,0,0,0,24
9.00105,144,0,0,24,0
9.00915,144,0,24,0,0
12.0092,168,0,0,0,0
41.0416,156,12,0,0,0
42.0416,156,0,0,12,0
42.0416,156,0,0,0,12
52.0416,156,0,0,12,0
52.0518,156,0,12,0,0
55.0518,168,0,0,0,0
59.0589,156,12,0,0,0
60.0589,156,0,0,12,0
60.0589,156,0,0,0,12
69.0589,156,0,0,12,0
69.0681,156,0,12,0,0
72.0681,168,0,0,0,0
119.119,156,12,0,0,0
120.119,156,0,0,12,0
120.119,156,0,0,0,12
133.119,156,0,0,12,0
133.132,156,0,12,0,0
136.132,168,0,0,0,0
147.146,156,12,0,0,0
148.146,156,0,0,12,0
148.146,156,0,0,0,12
179.178,144,12,0,0,12
180.178,144,0,0,12,12
180.178,144,0,0,0,24
183.146,144,0,0,12,12
183.181,144,0,12,0,12
184.182,132,12,12,0,12
185.182,132,0,12,12,12
185.182,132,0,12,0,24
185.182,120,12,12,0,24
185.182,108,24,12,0,24
185.182,96,36,12,0,24
185.182,84,48,12,0,24
185.182,72,60,12,0,24
185.182,60,72,12,0,24
185.182,48,84,12,0,24
185.182,36,96,12,0,24
186.181,48,96,0,0,24
186.182,48,84,0,12,24
186.182,48,72,0,24,24
186.182,48,60,0,36,24
186.182,48,48,0,48,24
186.182,48,36,0,60,24
186.182,48,24,0,72,24
186.182,48,12,0,84,24
186.182,48,0,0,96,24
186.182,48,0,0,0,120
189.182,48,0,0,12,108
189.185,48,0,12,0,108
192.185,60,0,0,0,108
192.188,48,12,0,0,108
192.188,36,24,0,0,108
193.188,36,12,0,12,108
193.188,36,0,0,24,108
193.188,36,0,0,0,132
198.188,36,0,0,24,108
198.193,36,0,24,0,108
201.193,60,0,0,0,108
208.203,48,12,0,0,108
208.203,36,24,0,0,108
208.203,24,36,0,0,108
208.203,12,48,0,0,108
209.203,12,36,0,12,108
209.203,12,24,0,24,108
209.203,12,12,0,36,108
209.203,12,0,0,48,108
209.203,12,0,0,0,156
210.204,0,12,0,0,156
211.204,0,0,0,12,156
211.204,0,0,0,0,168
214.203,0,0,0,48,120
214.207,0,0,48,0,120
217.207,48,0,0,0,120
218.178,48,0,0,12,108
218.211,36,12,0,12,108
218.211,24,24,0,12,108
218.211,12,36,0,12,108
218.211,0,48,0,12,108
219.211,0,36,0,24,108
219.211,0,24,0,36,108
219.211,0,12,0,48,108
219.211,0,0,0,60,108
219.211,0,0,0,0,168
235.204,0,0,0,12,156
235.228,0,0,12,0,156
238.228,12,0,0,0,156
245.238,0,12,0,0,156
246.238,0,0,0,12,156
246.238,0,0,0,0,168
250.238,0,0,0,12,156
250.242,0,0,12,0,156
253.242,12,0,0,0,156
260.252,0,12,0,0,156
261.252,0,0,0,12,156
261.252,0,0,0,0,168
266.252,0,0,0,12,156
266.257,0,0,12,0,156
269.257,12,0,0,0,156
270.261,0,12,0,0,156
271.261,0,0,0,12,156
271.261,0,0,0,0,168
298.261,0,0,0,12,156
298.289,0,0,12,0,156
301.289,12,0,0,0,156
324.211,12,0,0,60,96
324.315,12,0,0,0,156
328.315,12,0,0,60,96
328.319,12,0,0,12,144
328.319,0,12,0,12,144
329.319,0,0,0,24,144
329.319,0,0,0,0,168
332.319,0,0,0,48,120
332.322,0,0,24,24,120
332.322,0,0,24,0,144
334.319,0,0,24,24,120
334.324,0,0,48,0,120
335.322,24,0,24,0,120
337.324,48,0,0,0,120
339.322,48,0,0,24,96
339.329,48,0,24,0,96
