time,machine_id,new_pstate
0,0-167,1
1.00103,0-143,-2
4.00103,0-143,0
9.00915,144-167,-2
12.0092,144-167,0
41.0416,0-11,-1
42.0416,0-11,1
52.0518,0-11,-2
55.0518,0-11,0
59.0589,0-11,-1
60.0589,0-11,1
69.0681,0-11,-2
72.0681,0-11,0
119.119,0-11,-1
120.119,0-11,1
133.132,0-11,-2
136.132,0-11,0
147.146,0-11,-1
148.146,0-11,1
179.178,12-23,-1
180.178,12-23,1
183.181,0-11,-2
184.182,24-35,-1
185.182,24-35,1
185.182,36-47,-1
185.182,48-59,-1
185.182,60-71,-1
185.182,72-83,-1
185.182,84-95,-1
185.182,96-107,-1
185.182,108-119,-1
185.182,120-131,-1
186.181,0-11,0
186.182,36-47,1
186.182,48-59,1
186.182,60-71,1
186.182,72-83,1
186.182,84-95,1
186.182,96-107,1
186.182,108-119,1
186.182,120-131,1
189.185,24-35,-2
192.185,24-35,0
192.188,0-11,-1
192.188,24-35,-1
193.188,0-11,1
193.188,24-35,1
198.193,0-11 24-35,-2
201.193,0-11 24-35,0
208.203,0-11,-1
208.203,24-35,-1
208.203,132-143,-1
208.203,144-155,-1
209.203,0-11,1
209.203,24-35,1
209.203,132-143,1
209.203,144-155,1
210.204,156-167,-1
211.204,156-167,1
214.207,0-11 24-35 132-155,-2
217.207,0-11 24-35 132-155,0
218.211,0-11,-1
218.211,24-35,-1
218.211,132-143,-1
218.211,144-155,-1
219.211,0-11,1
219.211,24-35,1
219.211,132-143,1
219.211,144-155,1
235.228,156-167,-2
238.228,156-167,0
245.238,156-167,-1
246.238,156-167,1
250.242,156-167,-2
253.242,156-167,0
260.252,156-167,-1
261.252,156-167,1
266.257,156-167,-2
269.257,156-167,0
270.261,156-167,-1
271.261,156-167,1
298.289,156-167,-2
301.289,156-167,0
328.319,156-167,-1
329.319,156-167,1
332.322,0-23,-2
334.324,144-167,-2
335.322,0-23,0
337.324,144-167,0
339.329,24-35 132-143,-2
342.329,24-35 132-143,0
606.6,0-11,-1
606.6,12-23,-1
606.6,24-35,-1
606.6,132-143,-1
606.6,144-155,-1
606.6,156-167,-1
607.6,0-11,1
607.6,12-23,1
607.6,24-35,1
607.6,132-143,1
607.6,144-155,1
607.6,156-167,1
612.605,0-143,-2
615.605,0-143,0
615.605,0-11,-1
615.605,12-23,-1
615.605,24-35,-1
615.605,36-47,-1
615.605,48-59,-1
615.605,60-71,-1
616.605,0-11,1
616.605,12-23,1
616.605,24-35,1
616.605,36-47,1
616.605,48-59,1
616.605,60-71,1
621.614,144-167,-2
624.614,144-167,0
630.623,0-71,-2
633.623,0-71,0
659.653,0-11,-1
660.653,0-11,1
663.656,12-23,-1
663.656,24-35,-1
663.656,36-47,-1
663.656,48-59,-1
663.656,60-71,-1
664.656,12-23,1
664.656,24-35,1
664.656,36-47,1
664.656,48-59,1
664.656,60-71,1
720.713,0-11,-2
723.713,0-11,0
738.731,12-71,-2
741.731,12-71,0
779.773,0-11,-1
779.773,12-23,-1
779.773,24-35,-1
779.773,36-47,-1
779.773,48-59,-1
779.773,60-71,-1
780.773,0-11,1
780.773,12-23,1
780.773,24-35,1
780.773,36-47,1
780.773,48-59,1
780.773,60-71,1
793.786,0-71,-2
796.786,0-71,0
839.833,0-11,-1
839.833,12-23,-1
839.833,24-35,-1
839.833,36-47,-1
839.833,48-59,-1
839.833,60-71,-1
839.833,72-83,-1
839.833,84-95,-1
839.833,96-107,-1
839.833,108-119,-1
839.833,120-131,-1
839.833,132-143,-1
839.833,144-155,-1
839.833,156-167,-1
840.833,0-11,1
840.833,12-23,1
840.833,24-35,1
840.833,36-47,1
840.833,48-59,1
840.833,60-71,1
840.833,72-83,1
840.833,84-95,1
840.833,96-107,1
840.833,108-119,1
840.833,120-131,1
840.833,132-143,1
840.833,144-155,1
840.833,156-167,1
854.847,0-95,-2
857.847,0-95,0
868.861,96-167,-2
871.861,96-167,0
904.898,0-11,-1
904.898,12-23,-1
904.898,24-35,-1
904.898,36-47,-1
904.898,48-59,-1
904.898,60-71,-1
905.898,0-11,1
905.898,12-23,1
905.898,24-35,1
905.898,36-47,1
905.898,48-59,1
905.898,60-71,1
906.898,0-71,-2
909.898,0-71,0
1050.04,0-11,-1
1050.04,12-23,-1
1050.04,24-35,-1
1050.04,36-47,-1
1050.04,48-59,-1
1050.04,60-71,-1
1050.04,72-83,-1
1050.04,84-95,-1
1050.04,96-107,-1
1050.04,108-119,-1
1051.04,0-11,1
1051.04,12-23,1
1051.04,24-35,1
1051.04,36-47,1
1051.04,48-59,1
1051.04,60-71,1
1051.04,72-83,1
1051.04,84-95,1
1051.04,96-107,1
1051.04,108-119,1
1052.04,0-119,-2
1055.04,0-119,0
1079.07,0-11,-1
1080.07,0-11,1
1095.09,0-11,-2
1098.09,0-11,0
1139.13,0-11,-1
1139.13,12-23,-1
1139.13,24-35,-1
1139.13,36-47,-1
1139.13,48-59,-1
1139.13,60-71,-1
1139.13,72-83,-1
1139.13,84-95,-1
1139.13,96-107,-1
1139.13,108-119,-1
1140.13,0-11,1
1140.13,12-23,1
1140.13,24-35,1
1140.13,36-47,1
1140.13,48-59,1
1140.13,60-71,1
1140.13,72-83,1
1140.13,84-95,1
1140.13,96-107,1
1140.13,108-119,1
